,VIAT_ID,LCLASDC,MLSFCDC,SCLASDC,DCLASDC,BCLASDC,VIAT_NM,X_VALUE,Y_VALUE,latitude,longitude
1782,AA0007223026,교육/보건,보건시설,기타보건시설,약국,미분류,세화약국,202311.35902899998,458368.125743,37.62491128020723,127.02618274895651
1783,AA0006565795,교육/보건,보건시설,한의원,,,정성담은한의원,185140.870063,449141.230646,37.541660774807234,126.83186526791316
1784,AA0002109030,교육/보건,교육시설,초등교육기관,공립초등학교,,서울풍납초등학교,210427.51028699998,448419.354117,37.53521742961362,127.1179797292497
1785,AA0006598450,교육/보건,보건시설,기타보건시설,약국,미분류,바다의별약국,194550.283072,445029.66861999995,37.50471911267414,126.93836548162882
1786,AA0006601868,교육/보건,보건시설,한의원,,,노을벗한의원,203128.802106,450264.289713,37.551893913003276,127.03540802257479
1787,AA0000115056,교육/보건,보건시설,병/의원,미분류,,가리봉의원,190303.468239,442241.054817,37.47955871939119,126.89037218463531
1788,AA0006113273,산업,서비스산업,종합상품판매업,기타종합상품판매업,,광천얼음생수,211441.458121,448317.70197700005,37.53428952720266,127.12945020613283
1789,AA0006522362,교육/보건,보건시설,병/의원,미분류,,김패밀리의원,199678.653005,454174.47023999994,37.58712971622046,126.99636166723697
1790,AA0006790652,산업,서비스산업,언론/미디어,기타언론/미디어,,마인스코,201848.70552699998,446801.12583699997,37.52069424413706,127.02091271343643
1791,AA0006564419,교육/보건,보건시설,한의원,,,오디한의원,185882.899693,443541.076651,37.49121503777312,126.84036900080326
1792,AA0006788498,산업,서비스산업,언론/미디어,기타언론/미디어,,시네마서비스,197680.43103399998,453130.432913,37.57772014306293,126.97374084179178
1793,AA0006629380,교육/보건,보건시설,한의원,,,자연과한의원,192075.43784600002,450655.670445,37.55539149306759,126.9103151447337
1794,AA0000163668,교육/보건,보건시설,한의원,,,조정래한의원,211286.216602,450232.64747299993,37.55154504699972,127.12772321694852
1795,AA0003897549,산업,서비스산업,종합상품판매업,시장,전통시장,영천시장,196573.280482,452326.232197,37.57047088472523,126.96121087655386
1796,AA0002110877,교육/보건,교육시설,초등교육기관,공립초등학교,,서울왕북초등학교,207612.179991,442998.232092,37.486400459694565,127.08607023949025
1797,AA0006599155,교육/보건,보건시설,기타보건시설,약국,미분류,부산약국,194888.520555,449714.26637200004,37.54692935280829,126.94215825583105
1798,AA0003140068,산업,서비스산업,종합상품판매업,편의점,CU,CU,192861.50306,450699.86708199995,37.55579612546671,126.91921086277279
1799,AA0003152022,산업,서비스산업,금융/보험업,일반은행,국민은행,KB국민은행,194971.45463800002,450861.148413,37.557263189744525,126.94308888456244
1800,AA0000090646,교육/보건,보건시설,기타보건시설,약국,지역약국,지민약국,201015.17893599998,454361.65516499995,37.58881573509644,127.01149424811373
1801,AA0006519615,교육/보건,보건시설,병/의원,미분류,,대한항공부속의원,183388.825297,449779.15453999996,37.547378542792295,126.81202610950466
1802,AA0003897540,산업,서비스산업,종합상품판매업,시장,미분류,용산제1재래시장,198925.769759,448832.38626000006,37.53899715814702,126.9878452468887
1803,AA0000042015,교육/보건,교육시설,유아교육기관,어린이집,,도원어린이집,196338.201724,448750.60112,37.538253631128356,126.95856771721017
1804,AA0006558599,교육/보건,보건시설,한의원,,,경희동산한의원,198768.043935,443498.47447700007,37.49093821257609,126.98606953880923
1805,AA0002114444,교육/보건,교육시설,중등교육기관,공립중학교,,신남중학교,186592.967801,446779.06260600005,37.52039993435175,126.84833915770169
1806,AA0006535010,교육/보건,보건시설,병/의원,정신과,,이상연신경정신과의원,196972.424168,451952.21057600004,37.567102365011955,126.96573057000003
1807,AA0006790341,산업,서비스산업,언론/미디어,기타언론/미디어,,엠투커뮤니케이션,203045.034319,445509.973996,37.50905774697232,127.03444033784906
1808,AA0006571930,교육/보건,보건시설,한의원,,,하늘벗한의원,196674.337216,441971.768133,37.47717729698576,126.96240164661073
1809,AA0007207449,교육/보건,보건시설,기타보건시설,약국,미분류,길동보룡약국,212898.909919,448719.61006499996,37.53789148323422,127.14594702391719
1810,AA0002114963,교육/보건,교육시설,중등교육기관,공립중학교,,양진중학교,208694.026534,449508.576438,37.545049273462496,127.09837953820119
1811,AA0010083744,교육/보건,보건시설,기타보건시설,약국,미분류,좋은약국,185124.612273,448059.73983800004,37.531916317307704,126.83170320801612
1812,AA0003897547,산업,서비스산업,종합상품판매업,시장,미분류,홍연시장,193892.476916,453035.24471000006,37.57684517577964,126.93085933979383
1813,AA0000046364,교육/보건,교육시설,유아교육기관,어린이집,,꼬마정원어린이집,191997.964542,440196.269793,37.46115123344962,126.90955213220427
1814,AA0000091510,교육/보건,보건시설,기타보건시설,약국,지역약국,기쁨약국,205994.485919,449784.335399,37.547555356158774,127.06783445351134
1815,AA0006601420,교육/보건,보건시설,기타보건시설,약국,미분류,수목한약국,195037.583802,442748.37927,37.48416729336759,126.94389207003873
