,VIAT_ID,LCLASDC,MLSFCDC,SCLASDC,DCLASDC,BCLASDC,VIAT_NM,X_VALUE,Y_VALUE,latitude,longitude,sido,gu,dong
11115,AA0003155033,레저/관광/예술,문화/예술시설,미술관,미술관,소형갤러리/화랑,드림아트갤러리,198788.8314,452572.1124,37.57269183,126.9862896,서울특별시,종로구,종로1.2.3.4가동
11116,AA0002133202,교육/보건,교육시설,대학교,종합대학,부속시설,자연대대형강의동,195601.4255,439804.2384,37.45764314,126.9502848,서울특별시,관악구,대학동
11117,AA0002109075,교육/보건,교육시설,초등교육기관,공립초등학교,,서울장충초등학교,200997.244,451152.3041,37.55989967,127.0112868,서울특별시,중구,다산동
11118,AA0000093784,교육/보건,보건시설,기타보건시설,약국,지역약국,외대김약국,205378.5343,455369.2725,37.59787913,127.0609052,서울특별시,동대문구,이문1동
11119,AA0007220816,교육/보건,보건시설,기타보건시설,약국,온누리,상아온누리약국,195042.6396,444244.9818,37.49765181,126.9439392,서울특별시,동작구,상도4동
11120,AA0000090743,교육/보건,보건시설,기타보건시설,약국,지역약국,경북약국,186978.255,446564.0289,37.518468,126.8527013,서울특별시,양천구,신정3동
11121,AA0002114538,교육/보건,교육시설,중등교육기관,사립중학교,,상일여자중학교,215054.799,450033.6026,37.54969783,127.1703671,서울특별시,강동구,상일동
11122,AA0000165419,교육/보건,보건시설,한의원,,,경희정담한의원,211111.6017,444877.5655,37.50329789,127.1256662,서울특별시,송파구,가락본동
11123,AA0002126735,교육/보건,교육시설,고등교육기관,공업고등학교,,송파공업고등학교,212598.9853,443599.9488,37.49176743,127.1424658,서울특별시,송파구,거여1동
11124,AA0002109020,교육/보건,교육시설,초등교육기관,공립초등학교,,서울방산초등학교,210710.7645,445569.7147,37.50953891,127.121143,서울특별시,송파구,방이1동
11125,AA0000090309,교육/보건,보건시설,기타보건시설,약국,지역약국,새롬약국,193529.5402,452809.2273,37.5748063,126.9267527,서울특별시,서대문구,연희동
11126,AA0003897512,산업,서비스산업,종합상품판매업,시장,미분류,천호사거리종합시장,211381.1712,449119.7044,37.5415163,127.1287805,서울특별시,강동구,천호2동
11127,AA0000551801,산업,서비스산업,금융/보험업,일반은행,신한은행,신한은행,191047.4414,441545.7395,37.47330138,126.8987919,서울특별시,금천구,독산3동
